,총수익률,CAGR,변동성(연),Sharpe,MDD,Calmar
Mulvaney 복제(raw),41.145950168956176,0.14948992284352203,0.5241791345408717,0.5195122513877682,-0.7339845827740594,0.2036690229630329
Mulvaney 복제(변동성매칭),8.01101348906246,0.08531382645896235,0.19270566339579678,0.519512251387766,-0.33661322084959466,0.2534476401242785
SPY Buy&Hold,7.685267724969316,0.08382673452961065,0.19270566339579678,0.5141610926960384,-0.5518943242103662,0.15188910422216684
동일가중 바스켓 B&H,4.83792216968549,0.06791112388089648,0.15764611425129157,0.49560955513183447,-0.5140753829986969,0.13210343487906057
