N,p,lag,cap,K,short,scheme,total,CAGR,vol,Sharpe,MDD,Calmar
147,0.4,2,4,1,0.5,LP,1453.1823764868432,0.31262633834620024,0.503121853436172,0.7882478259601711,-0.6576989810620475,0.47533346918277647
168,0.2,0,4,1,0.5,LP,2843.219571926355,0.3471852429821536,0.6595746859206147,0.7840037576505869,-0.8317583082899819,0.4174112113120148
147,0.4,2,4,1,0.5,HLP,1286.4167573687946,0.30666729283450755,0.5202946202738036,0.7698715822723765,-0.6576989810620475,0.46627302408056565
147,0.4,2,3,1,0.5,LP,648.3466555352366,0.27368309687088277,0.43585052448660455,0.7695038333995845,-0.5995439187861175,0.45648548554208096
168,0.2,0,3,1,0.5,LP,1161.7884613467863,0.30277917403865673,0.5549348678787183,0.7564580396033204,-0.7442184565218197,0.4068417967672098
126,0.2,0,4,1,0.5,LP,1954.772217388991,0.32607227295718877,0.7102582352231352,0.7555299364082547,-0.88650763879317,0.3678166534482218
168,0.2,0,4,1,0.5,HLP,1838.404557992439,0.3253615727211874,0.7013586232435992,0.753961306607694,-0.9148611566989201,0.3556403836131645
147,0.4,2,3,2,0.5,LP,312.7464960112589,0.23954094573409535,0.38064595829942227,0.7535624087800794,-0.5814955230456553,0.4119394496443752
147,0.3,2,4,1,0.5,LP,3205.109606314515,0.35197129047163433,0.8387423317259893,0.7493324881155746,-0.8104663374086231,0.43428243003531003
147,0.4,2,3,1,0.5,HLP,584.0873658157408,0.2687347360004053,0.4532478401425809,0.7481722442659265,-0.5995439187861175,0.44823194361558405
126,0.2,0,4,1,0.5,HLP,1825.8313459839326,0.3227085654121289,0.7387711795619888,0.7478616163251788,-0.9299749623035886,0.3470077996645906
168,0.2,0,2,1,0.5,LP,380.68822666500967,0.24951679496954804,0.4151110499584577,0.7458784962563104,-0.599177109817842,0.4164324552475053
147,0.4,2,4,1,1.0,LP,1383.023486747824,0.31020390653783037,0.6085192684488938,0.7457889356310737,-0.7318052369592611,0.4238886125313409
147,0.4,2,2,2,0.5,LP,138.97362408326015,0.20272562628436086,0.31324556135846887,0.7456891583799781,-0.5215683505504444,0.3886846777999692
147,0.3,2,3,1,0.5,LP,2071.4832559915562,0.33011466239064524,0.6905673373093895,0.7411898958516737,-0.7090848796765097,0.4655502773395002
147,0.4,2,3,2,0.5,HLP,322.1173929908893,0.24090442868431938,0.39734205824086843,0.7407260194415899,-0.5814955230456553,0.41428423631286515
126,0.4,2,4,1,0.5,HLP,995.66336044683,0.2931966803053607,0.5443372184967981,0.7392815515940024,-0.6759300985127755,0.4337677534266794
126,0.2,0,3,1,0.5,LP,1081.0694211724872,0.29716218558334107,0.5937027525852915,0.7376016290684959,-0.7824801282127212,0.3797696259227634
147,0.2,0,4,1,0.5,LP,1290.1300980036176,0.30680788549392757,0.6741356673737071,0.7375535793352929,-0.799643133815872,0.38368101034001245
147,0.3,2,4,1,1.0,LP,1407.2826647661038,0.31105462923874194,0.976233683098523,0.7360656870970261,-0.9330491259543957,0.33337433216131135
147,0.4,2,4,2,0.5,LP,424.79414669479826,0.25376167385099935,0.4336140250346015,0.7360275360595327,-0.635196885071021,0.3995008159125755
147,0.4,2,4,2,0.5,HLP,483.6113191937465,0.2598363593378912,0.45336185411469393,0.7336891662190119,-0.635196885071021,0.40906428454673394
147,0.4,2,2,1,0.5,LP,189.45731206555058,0.21664230190493372,0.3493771041818536,0.7327620727110878,-0.5592158262402257,0.38740373884173546
252,0.2,1,4,1,0.5,HLP,1027.9019797567678,0.3010914484190459,0.6550186085355374,0.7316744864088338,-0.8250602425614524,0.3649326835629459
168,0.2,0,2,1,0.5,HLP,335.0924618882334,0.24357437277485294,0.42018456285841216,0.7303099382754259,-0.6531735951941369,0.37290909272359296
168,0.2,0,3,1,0.5,HLP,859.0207758231886,0.28813763252861535,0.573190005172995,0.7302406093254828,-0.8260221376758674,0.3488255573141565
147,0.4,2,4,1,1.0,HLP,1114.6992951987272,0.2996983158579609,0.6223034700734806,0.729419824895744,-0.7318052369592611,0.40953289307308527
168,0.2,0,4,1,1.0,LP,1056.8630734598269,0.29817063314863446,0.8065381460593033,0.7289420196145523,-0.8502668313114103,0.3506788953401258
147,0.4,2,2,2,0.5,HLP,139.83690745092275,0.20300190154038278,0.3267916600592376,0.7285764229632696,-0.5215683505504444,0.3892143787600262
273,0.2,1,4,1,0.5,HLP,867.0532663843651,0.29377892823830565,0.6658046601549149,0.7282786961012961,-0.8658921855241015,0.33927887691986625
168,0.3,0,4,1,0.5,LP,488.33375690608057,0.2612036098820829,0.4740449797899998,0.7262666182289437,-0.7074184057879846,0.36923496440714093
168,0.3,0,3,1,0.5,LP,274.17990464457745,0.23429112932365648,0.40182063447706867,0.7253995682177343,-0.643344386993595,0.364176845341761
147,0.4,2,2,3,0.5,LP,101.8616695957687,0.1889639250019901,0.30073358640286224,0.7253264914387488,-0.5416012475184673,0.348898614742476
231,0.2,0,4,1,0.5,LP,637.1738979809155,0.2767355942043044,0.5458952940940321,0.723749083709163,-0.6741339011694105,0.41050538138529313
147,0.3,2,3,1,1.0,LP,1486.553561454704,0.31373934034642104,0.794501360728845,0.7233963456455201,-0.8134561877620827,0.3856868323905142
126,0.2,0,3,1,0.5,HLP,924.0092136357357,0.28960862534277565,0.6103912980636149,0.7231722832228036,-0.8652949618698927,0.33469353007318414
147,0.2,0,3,1,0.5,LP,739.0960409643078,0.2799222963242385,0.5636605513136538,0.722471221418557,-0.7262650183064573,0.385427205315459
252,0.2,1,4,1,0.5,LP,869.5226920332486,0.2928649666495917,0.6506011474043266,0.7224476513354161,-0.7914885997342814,0.3700179216073515
273,0.2,1,4,1,0.5,LP,837.4802503198887,0.2920729620845339,0.6688301667166666,0.7215705244516648,-0.8014596956434419,0.3644262633195133
147,0.4,2,3,1,1.0,LP,629.3486870710258,0.27227108865020866,0.522154552637347,0.7200645201956204,-0.6373536001176772,0.42719000661475537
147,0.4,2,2,3,0.5,HLP,110.97546148156255,0.19274044841409022,0.3124524667479516,0.7196352045335763,-0.5416012475184673,0.35587150010676116
126,0.4,2,2,3,0.5,HLP,126.97493936496946,0.19803187588601867,0.3236032963616229,0.7190532170184445,-0.5522441833644244,0.3585947699431684
126,0.2,0,2,1,0.5,LP,378.60731295390707,0.2475364554531363,0.45115858759955574,0.7176758303806543,-0.6132862923212925,0.4036230037299696
147,0.4,2,2,1,0.5,HLP,184.12347873929414,0.21535202777696072,0.3621304454403869,0.7164438569747824,-0.5592158262402257,0.3850964469743935
147,0.2,0,2,1,0.5,LP,298.0820964315309,0.2373265000507665,0.42478271199933626,0.7156188431873649,-0.5874494331587818,0.4039947724089802
126,0.4,2,3,2,0.5,HLP,297.42952302011656,0.23640849878582393,0.41720644485353886,0.7154118959522061,-0.610451584460475,0.3872682204515282
210,0.2,0,4,1,0.5,LP,595.2389576967778,0.2724903153601208,0.5559569998942977,0.7146346174873596,-0.6757780161780657,0.4032245927460303
294,0.2,1,3,1,0.5,LP,518.1714170016909,0.26967103774538437,0.5407843957810001,0.7145476818005286,-0.6882521752904704,0.3918201023216123
294,0.2,1,4,1,0.5,HLP,619.7770234588827,0.27836690977628886,0.669396689879797,0.71438506248739,-0.9016607026650866,0.3087268957752123
126,0.4,2,4,2,0.5,HLP,466.37492637597893,0.25723691636114854,0.4781537813120072,0.7142925833866915,-0.6877345279715846,0.37403519221268017
315,0.2,1,4,1,0.5,LP,660.1517958446293,0.2824616139090912,0.639707250234646,0.7140960656824665,-0.8072719191123261,0.34989649363709463
294,0.2,1,4,1,0.5,LP,716.9405595894398,0.2854854836551657,0.6673260244227125,0.7140205259557197,-0.8590955135926789,0.33230936390446836
315,0.2,1,3,1,0.5,LP,460.58921432015654,0.26492957278118356,0.5236914068461274,0.7137768981162562,-0.70284116463879,0.3769408880843489
252,0.2,1,3,1,0.5,LP,530.2596453220444,0.2688630330445254,0.5379499842866624,0.713385710741023,-0.66121256530791,0.40662117925620894
168,0.3,0,4,1,0.5,HLP,430.7781622855473,0.2553036784412015,0.4823567068814216,0.7118835023470915,-0.7721311298945894,0.33064808366948667
168,0.2,0,2,3,0.5,LP,175.69196945477728,0.21397005935884672,0.368636130580253,0.7118747778220975,-0.6459419017574675,0.3312527934426931
147,0.4,2,2,4,0.5,LP,82.00773140261018,0.1794772676757599,0.2918549751420844,0.7105713044204867,-0.5395725334136805,0.33262862092010514
252,0.2,1,3,2,0.5,LP,397.1506570716746,0.25505176970678334,0.49494968202367734,0.7082201728550414,-0.6524845449786609,0.3908931968880959
231,0.2,0,4,1,0.5,HLP,491.33565852481377,0.26426688898242556,0.5370629727716209,0.7077123791862813,-0.7423743567462062,0.3559752388817625
168,0.2,0,4,1,1.0,HLP,605.2097220739181,0.27136653647178677,0.839000491582319,0.7074947951220361,-0.9144376341579461,0.29675783928301774
273,0.2,1,3,1,0.5,LP,495.23928870075804,0.26652986018891656,0.551754153177348,0.7069620549817097,-0.7240448325660908,0.3681123712247304
126,0.4,2,4,1,0.5,LP,570.8550631734132,0.2667183869726919,0.5300024235798861,0.7068570030855814,-0.6658607987545573,0.40056178028736433
294,0.2,1,4,2,0.5,LP,559.7397100455645,0.27341103497668673,0.5935143678946364,0.7067946961025579,-0.7751783850316563,0.3527072481071842
126,0.4,2,3,3,0.5,HLP,225.34020516927768,0.22374309452599572,0.39450618328710113,0.7063042209473379,-0.6495506770057518,0.3444582577565607
126,0.2,0,2,1,0.5,HLP,344.78187604560503,0.24320812376093826,0.45714822439248964,0.7062066734481788,-0.729290308455234,0.33348602187803117
168,0.3,0,2,1,0.5,LP,97.49220116110875,0.18767329390758003,0.314002356972822,0.7053852810497308,-0.5242150929479441,0.35800818486967234
168,0.2,0,2,3,0.5,HLP,178.88985521904524,0.21478627999226862,0.3778292252079799,0.7051445249311488,-0.6901831266258143,0.31120187049822784
252,0.2,1,3,1,0.5,HLP,492.0898948321785,0.26527819240356854,0.5481552020835495,0.7050030436551893,-0.7256403934487129,0.365578039478749
147,0.4,2,3,1,1.0,HLP,547.4091022226544,0.2656701611325305,0.5365739809920794,0.7049432685533048,-0.6373536001176772,0.4168332321077009
147,0.4,2,2,4,0.5,HLP,90.32413247902886,0.18369167914855455,0.30563894522084717,0.7035528545798454,-0.5395725334136805,0.3404392695573358
126,0.3,2,4,1,0.5,LP,1049.8191149075776,0.295747340525665,0.8847142392044188,0.70317812726065,-0.8373613476155729,0.35318962520519953
252,0.2,1,3,2,0.5,HLP,392.90627280804574,0.2545414611583239,0.5054930358393316,0.7029316523355645,-0.7131007219238901,0.3569502222232939
126,0.4,2,3,1,0.5,HLP,393.5136872096849,0.24932712712238714,0.473303226699387,0.7026845720657228,-0.6662617470705752,0.3742179829753555
126,0.3,0,4,1,0.5,HLP,479.2268687940526,0.25850760863880473,0.5194540796529793,0.702239284124437,-0.8015882896131388,0.3224942429779822
273,0.2,1,3,1,0.5,HLP,462.1176405435475,0.26320386605901125,0.5576871023055149,0.7019185956875507,-0.7794363757679894,0.3376848633728094
147,0.4,2,3,3,0.5,HLP,184.1912137848667,0.21536863632801273,0.3793866363148336,0.7017010258556788,-0.6204658533615172,0.347107959545563
168,0.3,0,2,2,0.5,LP,71.0484003491072,0.1738405833434773,0.28757931510951945,0.7015869670740414,-0.5401142005758858,0.3218589386432042
147,0.3,2,3,2,0.5,LP,954.0924961527833,0.29217399761784235,0.6545982028645527,0.700975916594463,-0.7060791533073159,0.4137977962517125
